127.0.0.1 - - [01/Oct/2016:09:24:34 +0100] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:25:29 +0100] "GET /MedicalGap/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:25:43 +0100] "GET /MedicalGap/login HTTP/1.1" 200 5028
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:25:43 +0100] "GET /MedicalGap/resources/images/HeaderWelcome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:25:43 +0100] "GET /MedicalGap/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:25:43 +0100] "GET /MedicalGap/resources/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:25:43 +0100] "GET /MedicalGap/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:25:44 +0100] "GET /MedicalGap/resources/images/welcomeimage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:25:44 +0100] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:25:46 +0100] "GET /MedicalGap/resources/images/background_welcome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:25:46 +0100] "GET /MedicalGap/resources/images/395.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:26:49 +0100] "GET /MedicalGap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:26:49 +0100] "GET /MedicalGap/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:26:49 +0100] "GET /MedicalGap/login HTTP/1.1" 200 5028
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:26:49 +0100] "GET /MedicalGap/resources/images/HeaderWelcome.png HTTP/1.1" 200 17237
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:26:49 +0100] "GET /MedicalGap/resources/css/bootstrap.min.css HTTP/1.1" 200 121270
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:26:49 +0100] "GET /MedicalGap/resources/js/jquery.min.js HTTP/1.1" 200 97166
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:26:49 +0100] "GET /MedicalGap/resources/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:26:49 +0100] "GET /MedicalGap/resources/images/welcomeimage.jpg HTTP/1.1" 200 958000
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:26:49 +0100] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:26:51 +0100] "GET /MedicalGap/resources/images/395.png HTTP/1.1" 200 13842
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:26:52 +0100] "GET /MedicalGap/resources/images/background_welcome.png HTTP/1.1" 200 2443874
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:27:04 +0100] "GET /MedicalGap/login HTTP/1.1" 200 4984
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:30:20 +0100] "POST /MedicalGap/j_spring_security_check;jsessionid=8EBC031FB840CEE588BD6399E7417729 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:30:26 +0100] "GET /MedicalGap/index HTTP/1.1" 200 15209
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:30:27 +0100] "GET /MedicalGap/resources/images/background_cat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:30:28 +0100] "GET /MedicalGap/resources/images/311.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:31:00 +0100] "GET /MedicalGap/resources/images/435.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:31:23 +0100] "GET /MedicalGap/resources/images/509.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:32:03 +0100] "POST /MedicalGap/redirectCat HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:32:05 +0100] "GET /MedicalGap/registres/registre HTTP/1.1" 200 41434
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:32:05 +0100] "GET /MedicalGap/resources/images/roche.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:32:05 +0100] "GET /MedicalGap/resources/images/medicalgaplogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:32:05 +0100] "GET /MedicalGap/resources/images/icone_show.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2016:09:32:05 +0100] "GET /MedicalGap/resources/images/Categorie.png HTTP/1.1" 304 -
