127.0.0.1 - - [05/Oct/2016:15:35:43 +0100] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:36:00 +0100] "GET /GestionS/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:36:03 +0100] "GET /GestionS/login HTTP/1.1" 200 2907
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:36:05 +0100] "GET /GestionS/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:36:05 +0100] "GET /GestionS/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:36:05 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:36:05 +0100] "GET /GestionS/resources/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:36:05 +0100] "GET /GestionS/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:36:08 +0100] "GET /GestionS/resources/images/background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:36:11 +0100] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:36:33 +0100] "POST /GestionS/j_spring_security_check;jsessionid=597966CF824EAAF6D0B554C47B274E30 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:36:33 +0100] "GET /GestionS/index HTTP/1.1" 200 20549
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:36:34 +0100] "GET /GestionS/resources/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:36:35 +0100] "GET /GestionS/resources/images/logoSB.png HTTP/1.1" 304 -
